timestamp,nama_gambar,original_path,overlay_path,coverage,oktaf,kondisi_langit,jenis_awan,top_preds,mask_path
2025-05-15 02:06:20,WhatsApp Image 2025-04-30 at 21.17.39_3343fa56.jpg,temps/history/images/20250515_020618_WhatsApp Image 2025-04-30 at 21.17.39_3343fa56.jpg,temps/history/overlays/20250515_020618_WhatsApp Image 2025-04-30 at 21.17.39_3343fa56.jpg,68.39,5,Sebagian Berawan,Mixed Cloud,Mixed Cloud (83.8%); Altocumulus / Cirrocumulus (7.6%),temps/history/masks/20250515_020618_WhatsApp Image 2025-04-30 at 21.17.39_3343fa56.jpg
2025-05-15 05:18:12,WhatsApp Image 2025-04-30 at 21.17.45_efb07c75.jpg,temps/history/images/20250515_051810_WhatsApp Image 2025-04-30 at 21.17.45_efb07c75.jpg,temps/history/overlays/20250515_051810_WhatsApp Image 2025-04-30 at 21.17.45_efb07c75.jpg,30.76,2,Sebagian Cerah,Cirrus / Cirrostratus,Cirrus / Cirrostratus (87.4%); Mixed Cloud (9.4%),temps/history/masks/20250515_051810_WhatsApp Image 2025-04-30 at 21.17.45_efb07c75.jpg
